,subCategory,start_date,start_time,end_date,end_time,latitude,longitude
0,roadWorks,2022-02-15,13:00:00,2022-02-15,16:00:00,41.149767771,-8.649091427
1,roadWorks,2022-02-16,10:00:00,2022-02-16,12:30:00,41.15583859,-8.663709507
2,roadWorks,2022-02-17,10:00:00,2022-02-17,12:30:00,41.164796971,-8.656609993
3,roadWorks,2022-02-15,08:00:00,2022-02-15,23:45:00,41.172921389,-8.584118224000001
4,roadWorks,2022-02-15,08:00:00,2022-02-15,23:45:00,41.150134039,-8.595385639
5,roadWorks,2022-02-15,08:00:00,2022-02-15,23:45:00,41.16010608,-8.576285629000001
6,roadWorks,2022-02-15,08:00:00,2022-02-15,23:45:00,41.155826356,-8.675843192
7,roadWorks,2022-02-15,08:00:00,2022-02-15,23:45:00,41.164688176,-8.611229028
8,roadWorks,2022-02-15,08:00:00,2022-02-15,23:45:00,41.150097891,-8.644674834
9,pothole,2022-02-15,07:45:00,2022-02-15,23:45:00,41.170626294,-8.644118863
10,roadWorks,2022-02-15,07:45:00,2022-02-15,23:45:00,41.166676934,-8.633068162
11,roadWorks,2022-02-15,07:45:00,2022-02-15,23:45:00,41.157161908,-8.637989554
12,pothole,2022-02-15,07:45:00,2022-02-15,23:45:00,41.151225676,-8.646031696
13,roadWorks,2022-02-15,08:30:00,2022-02-15,23:45:00,41.170208672,-8.594071901
14,roadWorks,2022-02-15,09:00:00,2022-02-15,23:45:00,41.144686998,-8.609511367
15,roadWorks,2022-02-15,09:00:00,2022-02-15,23:45:00,41.141630639,-8.613094505
16,pothole,2022-02-15,09:00:00,2022-02-15,23:45:00,41.180451969,-8.610486602
17,roadWorks,2022-02-15,09:15:00,2022-02-15,10:00:00,41.166669344,-8.660466759
18,roadWorks,2022-02-15,10:00:00,2022-02-15,12:00:00,41.143675997,-8.621626444
19,roadWorks,2022-02-15,10:00:00,2022-02-15,23:45:00,41.159815198,-8.640755834
20,roadWorks,2022-02-15,10:30:00,2022-02-15,23:45:00,41.15140134,-8.6705377
21,pothole,2022-02-15,11:00:00,2022-02-15,23:45:00,41.177514091,-8.61840947
22,roadWorks,2022-02-15,11:00:00,2022-02-15,23:45:00,41.175065996,-8.589975917
23,roadWorks,2022-02-15,11:00:00,2022-02-15,12:00:00,41.141566859,-8.613137295
24,roadWorks,2022-02-15,11:15:00,2022-02-15,23:45:00,41.150537174,-8.627391847
25,roadWorks,2022-02-15,11:15:00,2022-02-15,23:45:00,41.15585357,-8.680784576
26,roadWorks,2022-02-15,13:00:00,2022-02-15,23:45:00,41.15179323,-8.666922375
27,roadWorks,2022-02-15,13:00:00,2022-02-15,23:45:00,41.156707111,-8.64305587
28,roadWorks,2022-02-15,13:00:00,2022-02-15,23:45:00,41.150535374,-8.608997288
29,roadWorks,2022-02-15,13:45:00,2022-02-15,14:30:00,41.148402572,-8.618014766
30,roadWorks,2022-02-15,13:45:00,2022-02-15,14:45:00,41.152107983,-8.599919076
31,roadWorks,2022-02-15,14:30:00,2022-02-15,23:45:00,41.173249682,-8.605652332
32,roadWorks,2022-02-15,14:30:00,2022-02-15,23:45:00,41.176388425,-8.663611229
33,roadWorks,2022-02-15,14:30:00,2022-02-15,23:45:00,41.150199907,-8.603507117
34,roadWorks,2022-02-15,14:30:00,2022-02-15,16:30:00,41.154899262,-8.613321235
35,roadWorks,2022-02-15,14:45:00,2022-02-15,23:45:00,41.169910731,-8.595915962
36,roadWorks,2022-02-15,15:00:00,2022-02-15,23:45:00,41.14678627,-8.603821689
37,roadWorks,2022-02-15,14:15:00,2022-02-15,17:15:00,41.142620261,-8.614099705
38,roadWorks,2022-02-15,15:30:00,2022-02-15,23:45:00,41.16299664,-8.602641685
